	evaluated_outcome	subgroup_name	test_cstatistic	test_cstatistic_lb	test_cstatistic_ub	model
11	CVD + AF + HF	w T2DM & CVD	0.6135620959602848	0.6123605840130563	0.6147636079075133	PGS only
10	CVD + AF + HF	w T2DM	0.6081927622968423	0.6073678470227225	0.609017677570962	PGS only
9	CVD + AF + HF	wo T2DM/CVD	0.5997710420338894	0.5994991708913874	0.6000429131763915	PGS only
8	CVD	w T2DM & CVD	0.6271264911802379	0.6259631186331903	0.6282898637272857	PGS only
6	CVD	wo T2DM/CVD	0.5783501102792392	0.5780123683839821	0.5786878521744964	PGS only
7	CVD	w T2DM	0.604729186002221	0.6037745700301558	0.6056838019742863	PGS only
3	CHD	wo T2DM/CVD	0.5889888260696741	0.5886209708333507	0.5893566813059974	PGS only
4	CHD	w T2DM	0.6550021473801961	0.6539440894611143	0.656060205299278	PGS only
5	CHD	w T2DM & CVD	0.6305264951098284	0.6293748490948704	0.6316781411247864	PGS only
15	Ischaemic Stroke	wo T2DM/CVD	0.5410307694038791	0.5400630725812388	0.5419984662265194	PGS only
17	Ischaemic Stroke	w T2DM & CVD	0.4232390300230947	0.4204911528934754	0.425986907152714	PGS only
16	Ischaemic Stroke	w T2DM	0.5469004195564688	0.5442065992828753	0.5495942398300624	PGS only
2	AF	w T2DM & CVD	0.5894627021387585	0.5880279195903442	0.5908974846871728	PGS only
1	AF	w T2DM	0.6802783817172307	0.6791371659437859	0.6814195974906754	PGS only
0	AF	wo T2DM/CVD	0.6657151263410173	0.6653519176889079	0.6660783349931266	PGS only
12	HF	wo T2DM/CVD	0.5668964376063741	0.5654939495029793	0.5682989257097689	PGS only
13	HF	w T2DM	0.6009545725730845	0.5975092566282302	0.6043998885179388	PGS only
14	HF	w T2DM & CVD	0.5674349271872492	0.5647517809966189	0.5701180733778795	PGS only
23	CVD + AF + HF	w T2DM & CVD	0.6272442104688907	0.6260568258272368	0.6284315951105446	PGS plus
21	CVD + AF + HF	w T2DM	0.6500515618478794	0.6492344755135547	0.650868648182204	PGS plus
19	CVD + AF + HF	wo T2DM/CVD	0.7332946668819665	0.7330368467550196	0.7335524870089135	PGS plus
17	CVD	w T2DM & CVD	0.6424614055032846	0.6413135685985625	0.6436092424080067	PGS plus
13	CVD	wo T2DM/CVD	0.7198000336509885	0.7194741922673595	0.7201258750346176	PGS plus
15	CVD	w T2DM	0.6481369466902002	0.6471891634910829	0.6490847298893174	PGS plus
7	CHD	wo T2DM/CVD	0.7254187906629389	0.7250655227443499	0.7257720585815279	PGS plus
9	CHD	w T2DM	0.677813900374876	0.6767650869005825	0.6788627138491695	PGS plus
11	CHD	w T2DM & CVD	0.6462191358024691	0.6450827381854548	0.6473555334194835	PGS plus
31	Ischaemic Stroke	wo T2DM/CVD	0.6685920589335049	0.6676162824905068	0.6695678353765033	PGS plus
35	Ischaemic Stroke	w T2DM & CVD	0.4328233256351039	0.4300479744008644	0.4355986768693435	PGS plus
33	Ischaemic Stroke	w T2DM	0.5586736878157377	0.5559686005428702	0.5613787750886051	PGS plus
5	AF	w T2DM & CVD	0.6051528023359011	0.6037213862482189	0.606584218423583	PGS plus
3	AF	w T2DM	0.7162299644314033	0.7151127215457629	0.7173472073170437	PGS plus
1	AF	wo T2DM/CVD	0.7734188627890438	0.7730836771506437	0.7737540484274439	PGS plus
25	HF	wo T2DM/CVD	0.7262361691423351	0.7248758632622504	0.7275964750224199	PGS plus
27	HF	w T2DM	0.6123668286030853	0.608919241091333	0.6158144161148377	PGS plus
29	HF	w T2DM & CVD	0.5794977640178879	0.5768084873407036	0.5821870406950722	PGS plus
1	CVD + AF + HF	w T2DM & CVD	0.6333215133247866	0.6321407871928398	0.6345022394567333	PGS extended
3	CVD + AF + HF	w T2DM	0.6647393442224392	0.6639270099477949	0.6655516784970835	PGS extended
5	CVD + AF + HF	wo T2DM/CVD	0.7482349276542664	0.7479807216426565	0.7484891336658762	PGS extended
7	CVD	w T2DM & CVD	0.6498793680842417	0.6487395792325233	0.6510191569359601	PGS extended
9	CVD	wo T2DM/CVD	0.7449599973042668	0.7446409821400408	0.7452790124684927	PGS extended
11	CVD	w T2DM	0.6603082869727094	0.6593643198934929	0.6612522540519259	PGS extended
15	CHD	w T2DM	0.6859964177037348	0.6849517799790266	0.687041055428443	PGS extended
17	CHD	w T2DM & CVD	0.6514750681417348	0.6503441240690853	0.6526060122143844	PGS extended
13	CHD	wo T2DM/CVD	0.7490116963142298	0.7486656535675976	0.7493577390608621	PGS extended
19	Ischaemic Stroke	wo T2DM/CVD	0.6876836478738653	0.6867149771939457	0.6886523185537848	PGS extended
21	Ischaemic Stroke	w T2DM & CVD	0.4683891454965358	0.4655238736236307	0.4712544173694409	PGS extended
23	Ischaemic Stroke	w T2DM	0.5601453463481463	0.5574389933924752	0.5628516993038174	PGS extended
25	AF	w T2DM & CVD	0.606053831405944	0.6046226662911747	0.6074849965207134	PGS extended
27	AF	w T2DM	0.7289342972796209	0.7278280353985312	0.7300405591607108	PGS extended
29	AF	wo T2DM/CVD	0.7800248124241582	0.7796924358773901	0.7803571889709263	PGS extended
33	HF	w T2DM	0.6372794681667093	0.6338360210180751	0.6407229153153435	PGS extended
31	HF	wo T2DM/CVD	0.742131843174755	0.7407889482577024	0.7434747380918076	PGS extended
35	HF	w T2DM & CVD	0.6112372434353859	0.6085421506030354	0.6139323362677364	PGS extended
